Timestamp                       Thread     Type        Activity             PID    TTL  
2022-11-25 17:59:41.600804+0100 0x83e9f    Fault       0x1b5ff7             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (267.5, 438.0)
2022-11-25 17:59:41.768380+0100 0x83e9f    Fault       0x1b6f81             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Opened editor for panel of title Cozy Campfire
2022-11-25 17:59:43.708547+0100 0x83e9f    Fault       0x1b6f82             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1354.5, 31.5)
2022-11-25 17:59:44.258998+0100 0x83e9f    Fault       0x1b6f83             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1341.0, 36.5)
2022-11-25 17:59:45.999740+0100 0x83e9f    Fault       0x1b6f88             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1272.0, 94.5)
2022-11-25 17:59:46.136948+0100 0x83e9f    Fault       0x1b6f8c             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Testing the indirect responsivity interface variant.
2022-11-25 17:59:48.143249+0100 0x83e9f    Fault       0x1b6f8d             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1305.5, 946.5)
2022-11-25 17:59:48.628365+0100 0x83e9f    Fault       0x1b6f8e             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1288.0, 945.5)
2022-11-25 17:59:48.664903+0100 0x83e9f    Fault       0x1b6f8f             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Toggled ResponsivityControlView.
2022-11-25 17:59:49.358948+0100 0x83e9f    Fault       0x1b7071             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1280.5, 946.5)
2022-11-25 17:59:49.441902+0100 0x83e9f    Fault       0x1b7072             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Toggled ResponsivityControlView.
2022-11-25 17:59:50.508483+0100 0x83e9f    Fault       0x1b7074             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1278.5, 49.0)
2022-11-25 17:59:50.846803+0100 0x83e9f    Fault       0x1b7075             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] The participant begins the task.
2022-11-25 17:59:51.786830+0100 0x83e9f    Fault       0x1b7077             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1287.5, 957.5)
2022-11-25 17:59:51.905018+0100 0x83e9f    Fault       0x1b7078             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Toggled ResponsivityControlView.
2022-11-25 17:59:53.425802+0100 0x83e9f    Fault       0x1b707a             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1247.0, 784.5)
2022-11-25 17:59:53.522208+0100 0x83e9f    Fault       0x1b707b             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Toggled pin location.
2022-11-25 17:59:54.322362+0100 0x83e9f    Fault       0x1b707d             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (81.0, 523.0)
2022-11-25 17:59:55.065755+0100 0x83e9f    Fault       0x1b7115             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (76.0, 552.5)
2022-11-25 17:59:55.126736+0100 0x83e9f    Fault       0x1b7116             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Selected layer.
2022-11-25 17:59:55.980816+0100 0x83e9f    Fault       0x1b7118             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1131.5, 887.5)
